Comment,Image No.
"stunning image!","1"
"Vackert :-)","1"
"Wonderful, delicious winter image!!","2"
"Great contrast with the trees. wonderful shot.","2"
"Fantastic combination of  trees and sky- it definitely has that stark winter feel. Nice!!","2"
"Beautiful black and white shot!","2"
"w","2"
"Fantastic bw, those clouds add so much drama to the shot!","2"
"Simply outstanding","2"
"Beautiful, beautiful capture! The BW really adds to the drama.","2"
"Wonderful patterns with the branches, great toning and pp!","2"
"Excellent picture picture, love how the trees just get smaller and smaller in the distance!","2"
"Great use of bw.","2"
"lovely shot, and processing into black and white, lovely tones and contrasts","3"
"Magistral encuadre, maese Manolo. Un abrazo.  ste es un magno reconocimiento por tamaa gesta realizada.  ","3"
"Gniale composition ! Superbe visuel  !","3"
"Impressive shot ! Wonderful b  w color tone composition  . The  sight also very beautiful :-)","3"
"Un tema muy bien retratado. Me gusta este ByN. Excelente. Abrazos.","3"
"Gracias por compartir sta joya fotogrfica. Saludos cordiales. Thank you for sharing this photographic gem. Best regards.  Goza totalmente las horas de ste jueves ! Fully enjoy hours this Thursday ! Cita clebre: Como invento, el telfono es extraordinario, pero para qu podr servir?.   Rubn Daro","3"
"Hay algo de romanticismo en esta imagen, el balnco y negro es muy acertado.","3"
"","3"
"Genial......","3"
"Hermosa composicin, Manuel. Un encuadre excelente para una belleza de rbol. Saludos cordiales y gracias por tu visita y favs.","3"
"","3"
"vista en    Fotos de Madrid y su Comunidad","3"
"BUEN TRABAJO, ENHORABUENA.  VISTA EN: ","3"
"vista en    Fotos de Madrid y su Comunidad","3"
"Belle ralisation, j'aime. Un trs bon week-end .","3"
"Esplndida composicin y realizacin de esta fotografia , la diagonal del rbol y su definicin es magnfica. Saludos.","3"
"Amazing contrast","4"
"Very nice shot! Well done!","4"
"Nice detail and colors!","5"
"","5"
"QUESTA FOTO E' MOLTO INTERESSANTE!!! THIS SHOT IS VERY INTERESTING!!!  FOTOPEDIA by Paul Mor post 1, comment 3   GRAZIE PER QUESTA BELLA FOTO THANK YOU FOR THIS BEAUTIFUL PHOTOS _________ 2 Giugno  __________ RICORDA DI COMMENTARE ALMENO TRE FOTO REMEMBER TO COMMENT AT LEAST THREE PHOTOS ","6"
"Great shot!  this Amazing Work deserves a Crown !   Royal Group, +24'000 Flickers wear the Crown ! ","6"
" !! High Quality Image    Qualified Members Only  ","6"
"QUESTA FOTO E' MOLTO INTERESSANTE!!! THIS SHOT IS VERY INTERESTING!!!  FOTOPEDIA by Paul Mor post 1, comment 3   GRAZIE PER QUESTA BELLA FOTO THANK YOU FOR THIS BEAUTIFUL PHOTOS  RICORDA DI COMMENTARE ALMENO TRE FOTO REMEMBER TO COMMENT AT LEAST THREE PHOTOS ","6"
"Bellissima la foto! Ciao","6"
"  This art piece is recognized as a very beautiful work!!!   Comment code will look like this","6"
"Excelente imagen,muy buen procesado...   Esta bellsima imagen fue vista en:   Ole tus fotos","6"
" Esta bellsima imagen fue vista en:   Ole tus fotos","6"
" Esta bellsima imagen fue vista en:   Ole tus fotos","6"
