,count,geo,region
0,14,"[u'40.008371', u'-75.090887']",Pennsylvania
1,2,"[u'45.555624', u'-122.674981']",Oregon
2,1,"[u'43.078684', u'-87.879209']",Wisconsin
3,1,"[u'43.078684', u'-87.879188']",Wisconsin
4,1,"[u'26.254450', u'-81.154481']",Florida
5,1,"[u'43.078715', u'-87.879166']",Wisconsin
6,1,"[u'42.944925', u'-87.996282']",Wisconsin
7,1,"[u'45.554666', u'-122.674667']",Oregon
8,1,"[u'28.106488', u'-80.930789']",Florida
9,1,"[u'26.153669', u'-81.467320']",Florida
10,1,"[u'26.251869', u'-81.211587']",Florida
11,1,"[u'28.045963', u'-81.000239']",Florida
12,1,"[u'28.046180', u'-81.000181']",Florida
13,1,"[u'27.990136', u'-81.031803']",Florida
14,1,"[u'27.989483', u'-81.032253']",Florida
15,1,"[u'27.989044', u'-81.033325']",Florida
16,1,"[u'27.236094', u'-81.467678']",Florida
17,1,"[u'23.659691', u'-85.149631']",
18,1,"[u'26.196963', u'-81.397525']",Florida
19,1,"[u'28.106511', u'-80.930795']",Florida
20,1,"[u'30.771022', u'-82.476231']",Georgia
21,2,"[u'26.254713', u'-81.160203']",Florida
22,1,"[u'25.150122', u'-80.922025']",Florida
23,1,"[u'26.029777', u'-81.396509']",Florida
24,1,"[u'30.562583', u'-82.723062']",Florida
25,1,"[u'28.041919', u'-81.465606']",Florida
26,1,"[u'41.782863', u'-88.261161']",Illinois
27,1,"[u'27.231369', u'-81.464712']",Florida
28,4,"[u'45.555612', u'-122.675163']",Oregon
29,3,"[u'26.533727', u'-81.126420']",Florida
30,1,"[u'25.770927', u'-80.770131']",Florida
31,1,"[u'27.580333', u'-81.026989']",Florida
32,1,"[u'29.094005', u'-81.482945']",Florida
33,1,"[u'27.875972', u'-81.268814']",Florida
34,1,"[u'26.955802', u'-81.384153']",Florida
35,1,"[u'26.029869', u'-81.396762']",Florida
36,1,"[u'26.209138', u'-81.365878']",Florida
37,1,"[u'26.222033', u'-81.359514']",Florida
38,1,"[u'30.562566', u'-82.723064']",Florida
39,1,"[u'30.129780', u'-82.409267']",Florida
40,1,"[u'26.029636', u'-81.396378']",Florida
41,1,"[u'30.803588', u'-82.219956']",Georgia
42,1,"[u'30.748900', u'-82.491970']",Georgia
43,1,"[u'30.594980', u'-82.697437']",Florida
44,1,"[u'26.900813', u'-81.440459']",Florida
45,1,"[u'26.716205', u'-81.619737']",Florida
46,1,"[u'26.028872', u'-81.396864']",Florida
47,1,"[u'27.375430', u'-81.391653']",Florida
48,1,"[u'27.231047', u'-81.464878']",Florida
49,1,"[u'28.027469', u'-81.025673']",Florida
50,1,"[u'27.989075', u'-81.032959']",Florida
51,1,"[u'26.330161', u'-81.054664']",Florida
52,1,"[u'28.052922', u'-81.433387']",Florida
53,1,"[u'27.679205', u'-81.020948']",Florida
54,1,"[u'26.720816', u'-81.645928']",Florida
55,1,"[u'27.576205', u'-81.073992']",Florida
56,1,"[u'27.558666', u'-81.361500']",Florida
57,1,"[u'27.277500', u'-81.472667']",Florida
58,1,"[u'27.373236', u'-81.396364']",Florida
59,1,"[u'27.017775', u'-81.264014']",Florida
60,1,"[u'26.947063', u'-81.374756']",Florida
61,1,"[u'26.800861', u'-81.651650']",Florida
62,1,"[u'26.795413', u'-81.341912']",Florida
63,1,"[u'26.208969', u'-81.365053']",Florida
64,1,"[u'26.196994', u'-81.397489']",Florida
65,1,"[u'27.864863', u'-81.279939']",Florida
66,1,"[u'27.676675', u'-80.963873']",Florida
67,1,"[u'25.856544', u'-80.770028']",Florida
68,1,"[u'30.757813', u'-82.217053']",Georgia
69,1,"[u'30.770938', u'-82.470423']",Georgia
70,1,"[u'30.331716', u'-82.558381']",Florida
71,1,"[u'28.061086', u'-81.445817']",Florida
72,1,"[u'28.048247', u'-81.463198']",Florida
73,1,"[u'28.042847', u'-81.463834']",Florida
74,1,"[u'27.580436', u'-81.028903']",Florida
75,1,"[u'27.578855', u'-81.027881']",Florida
76,1,"[u'26.990994', u'-81.250639']",Florida
77,1,"[u'30.323083', u'-82.558792']",Florida
78,1,"[u'26.194586', u'-81.413831']",Florida
79,1,"[u'26.716694', u'-81.575095']",Florida
80,1,"[u'26.715713', u'-81.551837']",Florida
81,1,"[u'30.823302', u'-82.383364']",Georgia
82,1,"[u'26.255122', u'-81.144556']",Florida
83,1,"[u'30.790638', u'-82.440489']",Georgia
84,1,"[u'26.953166', u'-81.391000']",Florida
85,1,"[u'27.277488', u'-81.472575']",Florida
86,1,"[u'30.803622', u'-82.219970']",Georgia
87,1,"[u'30.771000', u'-82.476139']",Georgia
88,1,"[u'30.771008', u'-82.476131']",Georgia
89,1,"[u'30.592191', u'-82.695081']",Florida
90,1,"[u'28.824777', u'-81.049806']",Florida
91,1,"[u'30.802027', u'-82.219553']",Georgia
92,1,"[u'30.803669', u'-82.220053']",Georgia
93,1,"[u'30.768405', u'-82.232059']",Georgia
94,1,"[u'30.805380', u'-82.418501']",Georgia
95,1,"[u'29.423988', u'-81.868120']",Florida
96,1,"[u'28.615688', u'-80.990692']",Florida
97,1,"[u'28.693488', u'-81.039128']",Florida
98,1,"[u'28.495302', u'-80.883859']",Florida
99,1,"[u'30.803644', u'-82.219878']",Georgia
100,1,"[u'30.831780', u'-82.360217']",Georgia
101,1,"[u'29.423983', u'-81.868098']",Florida
102,1,"[u'29.423977', u'-81.868092']",Florida
103,1,"[u'28.818419', u'-81.075278']",Florida
104,1,"[u'28.045972', u'-81.000237']",Florida
105,1,"[u'27.373213', u'-81.401678']",Florida
106,1,"[u'26.955813', u'-81.383956']",Florida
107,1,"[u'28.033891', u'-81.465606']",Florida
108,1,"[u'27.586833', u'-81.130464']",Florida
109,1,"[u'27.379861', u'-81.383020']",Florida
110,1,"[u'27.875263', u'-81.270073']",Florida
111,1,"[u'27.554641', u'-81.046656']",Florida
112,1,"[u'26.463447', u'-81.052703']",Florida
113,1,"[u'27.581177', u'-81.336528']",Florida
114,1,"[u'27.868666', u'-81.159501']",Florida
115,1,"[u'27.847963', u'-81.056345']",Florida
116,1,"[u'27.047305', u'-81.266798']",Florida
117,1,"[u'26.874077', u'-81.584653']",Florida
118,1,"[u'26.734488', u'-81.691514']",Florida
119,1,"[u'26.720736', u'-81.646073']",Florida
120,1,"[u'26.716538', u'-81.622362']",Florida
121,1,"[u'26.520036', u'-81.170678']",Florida
122,1,"[u'26.519905', u'-81.170781']",Florida
123,1,"[u'26.522563', u'-81.142753']",Florida
124,1,"[u'26.331044', u'-81.055814']",Florida
125,1,"[u'28.495183', u'-80.883862']",Florida
126,1,"[u'29.074286', u'-81.178728']",Florida
127,1,"[u'28.914288', u'-81.140803']",Florida
128,1,"[u'28.056483', u'-81.416431']",Florida
129,1,"[u'27.869919', u'-81.276175']",Florida
130,1,"[u'27.871161', u'-81.241617']",Florida
131,1,"[u'27.870488', u'-81.126339']",Florida
132,1,"[u'27.853633', u'-81.088014']",Florida
133,1,"[u'27.847986', u'-81.056456']",Florida
134,1,"[u'27.546023', u'-81.354446']",Florida
135,1,"[u'27.379322', u'-81.383478']",Florida
136,1,"[u'27.373219', u'-81.396362']",Florida
137,1,"[u'27.231063', u'-81.464870']",Florida
138,1,"[u'27.235866', u'-81.468856']",Florida
139,1,"[u'27.231447', u'-81.464695']",Florida
140,1,"[u'27.188016', u'-81.352153']",Florida
141,1,"[u'27.015269', u'-81.255939']",Florida
142,1,"[u'27.015313', u'-81.255662']",Florida
143,1,"[u'27.015422', u'-81.255728']",Florida
144,1,"[u'27.015330', u'-81.255698']",Florida
145,1,"[u'26.933263', u'-81.328920']",Florida
146,1,"[u'26.991425', u'-81.536475']",Florida
147,2,"[u'26.990894', u'-81.534381']",Florida
148,1,"[u'26.803666', u'-81.633742']",Florida
149,1,"[u'26.800852', u'-81.651637']",Florida
150,1,"[u'26.869780', u'-81.589734']",Florida
