,count,geo,region
0,1,"[u'45.511420', u'-122.653801']",Oregon
1,1,"[u'42.084577', u'-87.769014']",Illinois
2,1,"[u'41.957980', u'-87.669595']",Illinois
3,1,"[u'40.683000', u'-73.978500']",New York
4,1,"[u'40.683000', u'-73.978334']",New York
5,1,"[u'40.683000', u'-73.978834']",New York
6,1,"[u'35.308287', u'-80.728172']",North Carolina
7,2,"[u'47.546784', u'-122.370765']",Washington
8,1,"[u'38.045184', u'-78.509845']",Virginia
9,1,"[u'38.906605', u'-77.005675']",District of Columbia
10,1,"[u'42.944863', u'-87.993450']",Wisconsin
11,1,"[u'38.045062', u'-78.509266']",Virginia
12,1,"[u'42.944863', u'-87.995080']",Wisconsin
13,1,"[u'42.944925', u'-87.996282']",Wisconsin
14,1,"[u'43.078684', u'-87.879209']",Wisconsin
15,1,"[u'42.944925', u'-87.993192']",Wisconsin
16,3,"[u'45.555612', u'-122.675163']",Oregon
17,1,"[u'38.906058', u'-77.006317']",District of Columbia
18,1,"[u'42.944863', u'-87.995252']",Wisconsin
19,1,"[u'32.887999', u'-117.244500']",California
20,1,"[u'42.944800', u'-87.945299']",Wisconsin
21,1,"[u'43.078684', u'-87.879188']",Wisconsin
22,1,"[u'43.078715', u'-87.879166']",Wisconsin
23,1,"[u'40.731666', u'-73.863167']",New York
24,1,"[u'40.731833', u'-73.863334']",New York
25,1,"[u'33.672336', u'-117.745628']",California
26,1,"[u'40.734333', u'-73.868834']",New York
27,2,"[u'40.731166', u'-73.863167']",New York
28,1,"[u'40.731500', u'-73.863000']",New York
29,3,"[u'41.852423', u'-87.663179']",Illinois
30,1,"[u'40.731833', u'-73.863667']",New York
31,8,"[u'42.944925', u'-87.994394']",Wisconsin
32,1,"[u'42.944988', u'-87.993707']",Wisconsin
33,1,"[u'42.944863', u'-87.994909']",Wisconsin
34,1,"[u'42.944737', u'-87.945213']",Wisconsin
35,1,"[u'43.045714', u'-87.922983']",Wisconsin
36,1,"[u'42.944737', u'-87.945728']",Wisconsin
37,1,"[u'43.046404', u'-87.922940']",Wisconsin
38,1,"[u'43.045652', u'-87.922940']",Wisconsin
39,1,"[u'43.047063', u'-87.924528']",Wisconsin
40,1,"[u'42.944737', u'-87.945384']",Wisconsin
41,6,"[u'39.288309', u'-76.642706']",Maryland
42,1,"[u'47.735167', u'-122.310023']",Washington
43,1,"[u'27.381370', u'-82.560653']",Florida
44,1,"[u'43.078872', u'-87.879252']",Wisconsin
45,1,"[u'37.771510', u'-122.398424']",California
46,3,"[u'39.290750', u'-76.643908']",Maryland
47,1,"[u'38.906819', u'-77.005731']",District of Columbia
48,9,"[u'32.889565', u'-79.998911']",South Carolina
49,1,"[u'45.523500', u'-122.654333']",Oregon
50,1,"[u'40.735047', u'-73.974401']",New York
51,1,"[u'45.507952', u'-122.678062']",Oregon
52,1,"[u'45.509002', u'-122.681642']",Oregon
53,1,"[u'47.580499', u'-122.152084']",Washington
54,1,"[u'40.680133', u'-73.988113']",New York
55,1,"[u'40.042039', u'-75.317459']",Pennsylvania
56,1,"[u'41.957750', u'-87.678726']",Illinois
57,2,"[u'40.731833', u'-73.866000']",New York
58,1,"[u'47.702278', u'-122.323858']",Washington
59,1,"[u'47.692333', u'-122.357667']",Washington
60,1,"[u'45.159513', u'-93.226756']",Minnesota
61,2,"[u'42.944925', u'-87.994480']",Wisconsin
62,1,"[u'42.944800', u'-87.994480']",Wisconsin
63,1,"[u'43.046436', u'-87.922897']",Wisconsin
64,1,"[u'43.045746', u'-87.922983']",Wisconsin
65,1,"[u'43.045777', u'-87.922897']",Wisconsin
66,1,"[u'42.944800', u'-87.995252']",Wisconsin
67,1,"[u'40.680052', u'-73.987855']",New York
68,1,"[u'43.047126', u'-87.924699']",Wisconsin
69,1,"[u'44.018959', u'-123.026425']",Oregon
70,1,"[u'43.045683', u'-87.922897']",Wisconsin
71,1,"[u'43.045714', u'-87.922940']",Wisconsin
72,1,"[u'41.875526', u'-87.649548']",Illinois
73,1,"[u'40.154014', u'-75.342049']",Pennsylvania
74,5,"[u'41.852483', u'-87.663653']",Illinois
75,1,"[u'39.290775', u'-76.645592']",Maryland
76,3,"[u'39.289704', u'-76.644079']",Maryland
77,1,"[u'41.958050', u'-87.669524']",Illinois
78,1,"[u'40.675235', u'-73.991332']",New York
79,1,"[u'40.675642', u'-73.991332']",New York
80,1,"[u'40.675544', u'-73.991332']",New York
81,1,"[u'40.675609', u'-73.991246']",New York
82,1,"[u'40.675284', u'-73.991117']",New York
83,1,"[u'40.675756', u'-73.991482']",New York
84,1,"[u'43.078605', u'-87.879166']",Wisconsin
85,1,"[u'43.078715', u'-87.879188']",Wisconsin
86,2,"[u'39.290713', u'-76.645603']",Maryland
87,9,"[u'39.288649', u'-76.643671']",Maryland
88,1,"[u'43.078825', u'-87.879188']",Wisconsin
89,1,"[u'43.078778', u'-87.879188']",Wisconsin
90,1,"[u'43.078856', u'-87.879166']",Wisconsin
91,1,"[u'43.078778', u'-87.879145']",Wisconsin
92,1,"[u'43.078840', u'-87.879188']",Wisconsin
93,1,"[u'43.078762', u'-87.879252']",Wisconsin
94,1,"[u'43.078856', u'-87.879188']",Wisconsin
95,1,"[u'43.078809', u'-87.879273']",Wisconsin
96,1,"[u'41.999631', u'-87.760902']",Illinois
97,1,"[u'36.154925', u'-95.987053']",Oklahoma
98,2,"[u'40.676765', u'-73.989915']",New York
99,1,"[u'40.675577', u'-73.990881']",New York
100,1,"[u'40.675935', u'-73.994293']",New York
101,1,"[u'40.676683', u'-73.989486']",New York
102,1,"[u'40.683124', u'-73.978951']",New York
103,1,"[u'47.701725', u'-122.324631']",Washington
104,1,"[u'47.701754', u'-122.325650']",Washington
105,1,"[u'40.680833', u'-73.988950']",New York
106,1,"[u'40.680768', u'-73.988971']",New York
107,1,"[u'40.680703', u'-73.989036']",New York
108,1,"[u'45.504737', u'-122.646029']",Oregon
109,1,"[u'44.018727', u'-123.026297']",Oregon
110,1,"[u'47.691666', u'-122.357167']",Washington
111,1,"[u'40.675430', u'-73.991546']",New York
112,1,"[u'40.675479', u'-73.991589']",New York
113,1,"[u'40.741623', u'-73.863852']",New York
114,2,"[u'27.944767', u'-82.445483']",Florida
115,4,"[u'47.532965', u'-122.369928']",Washington
116,8,"[u'41.487459', u'-81.580824']",Ohio
117,1,"[u'34.002207', u'-118.471627']",California
118,1,"[u'45.531605', u'-122.689990']",Oregon
119,1,"[u'32.413194', u'-81.786201']",Georgia
120,1,"[u'45.537296', u'-122.691467']",Oregon
121,1,"[u'47.564998', u'-122.625686']",Washington
122,1,"[u'42.314209', u'-83.161913']",Michigan
123,1,"[u'45.468376', u'-122.713047']",Oregon
124,1,"[u'32.889326', u'-79.998273']",South Carolina
125,1,"[u'39.023522', u'-77.035503']",Maryland
126,2,"[u'47.619601', u'-122.293152']",Washington
127,1,"[u'45.495759', u'-122.668275']",Oregon
128,1,"[u'44.475666', u'-73.193334']",Vermont
129,1,"[u'44.475500', u'-73.193500']",Vermont
130,1,"[u'44.475500', u'-73.193167']",Vermont
131,1,"[u'39.023597', u'-77.028389']",Maryland
132,1,"[u'39.440443', u'-87.341576']",Indiana
133,1,"[u'39.023602', u'-77.028381']",Maryland
134,1,"[u'40.675544', u'-73.991353']",New York
135,1,"[u'39.290676', u'-76.645356']",Maryland
136,1,"[u'40.675674', u'-73.991031']",New York
137,1,"[u'40.675511', u'-73.991010']",New York
138,1,"[u'34.003203', u'-118.472464']",California
139,1,"[u'37.737152', u'-122.393495']",California
140,1,"[u'38.878720', u'-76.975692']",District of Columbia
141,1,"[u'40.675446', u'-73.991460']",New York
142,1,"[u'40.675463', u'-73.990945']",New York
143,1,"[u'40.678717', u'-73.990581']",New York
144,1,"[u'32.887750', u'-79.998733']",South Carolina
145,1,"[u'39.023311', u'-77.025323']",Maryland
146,1,"[u'39.023716', u'-77.021759']",Maryland
147,1,"[u'39.021708', u'-77.024392']",Maryland
148,1,"[u'39.021988', u'-77.024514']",Maryland
149,1,"[u'39.023333', u'-77.022834']",Maryland
150,1,"[u'39.022063', u'-77.024239']",Maryland
151,1,"[u'41.931712', u'-87.712033']",Illinois
152,1,"[u'40.548083', u'-111.999473']",Utah
153,2,"[u'29.364879', u'-100.797416']",Texas
154,1,"[u'41.852472', u'-87.663872']",Illinois
155,1,"[u'47.622500', u'-122.330500']",Washington
156,1,"[u'41.875875', u'-87.649282']",Illinois
157,1,"[u'41.875536', u'-87.649515']",Illinois
158,1,"[u'39.029094', u'-77.081510']",Maryland
159,1,"[u'41.844452', u'-87.646678']",Illinois
160,1,"[u'45.496667', u'-122.399000']",Oregon
161,1,"[u'45.501667', u'-122.400167']",Oregon
162,1,"[u'45.503667', u'-122.400333']",Oregon
163,1,"[u'45.511470', u'-122.653802']",Oregon
164,1,"[u'42.474874', u'-83.249688']",Michigan
165,1,"[u'32.413552', u'-81.786062']",Georgia
166,1,"[u'45.511422', u'-122.653727']",Oregon
167,1,"[u'40.698194', u'-73.744481']",New York
168,1,"[u'41.815921', u'-88.070751']",Illinois
169,1,"[u'41.663337', u'-71.944152']",Connecticut
170,1,"[u'47.622166', u'-122.330334']",Washington
171,1,"[u'33.768000', u'-118.192667']",California
172,1,"[u'33.768000', u'-118.193000']",California
173,1,"[u'45.534905', u'-122.623284']",Oregon
