,count,geo,region
0,1,"[u'44.944821', u'-93.087716']",Minnesota
1,1,"[u'35.140628', u'-90.048278']",Tennessee
2,2,"[u'46.646129', u'-122.959263']",Washington
3,1,"[u'47.923575', u'-97.028728']",North Dakota
4,1,"[u'41.766402', u'-87.562989']",Illinois
5,1,"[u'36.082696', u'-115.147275']",Nevada
6,1,"[u'41.974726', u'-91.662282']",Iowa
7,1,"[u'41.252443', u'-75.888168']",Pennsylvania
8,1,"[u'33.825148', u'-80.819623']",South Carolina
9,1,"[u'46.877010', u'-96.783145']",North Dakota
10,1,"[u'41.873670', u'-87.814407']",Illinois
11,1,"[u'46.953455', u'-96.862592']",North Dakota
12,1,"[u'35.158371', u'-90.056304']",Tennessee
13,1,"[u'41.251834', u'-75.877397']",Pennsylvania
14,1,"[u'41.679450', u'-91.536884']",Iowa
15,1,"[u'38.572461', u'-121.603460']",California
16,1,"[u'37.759112', u'-92.451860']",Missouri
17,4,"[u'36.198849', u'-86.823234']",Tennessee
18,1,"[u'41.298790', u'-75.860745']",Pennsylvania
19,2,"[u'37.555371', u'-79.367272']",Virginia
20,1,"[u'41.937147', u'-92.576594']",Iowa
21,2,"[u'41.934410', u'-76.525657']",Pennsylvania
22,1,"[u'41.982144', u'-91.663506']",Iowa
23,1,"[u'40.410914', u'-105.634703']",Colorado
24,1,"[u'46.935055', u'-98.006200']",North Dakota
25,1,"[u'40.751117', u'-74.035524']",New Jersey
26,1,"[u'37.800527', u'-92.340989']",Missouri
27,1,"[u'48.232248', u'-101.288366']",North Dakota
28,1,"[u'46.939978', u'-98.196101']",North Dakota
29,1,"[u'44.523792', u'-93.020875']",Minnesota
30,53,"[u'41.003666', u'-76.455000']",Pennsylvania
31,1,"[u'38.716422', u'-90.477840']",Missouri
32,1,"[u'36.163656', u'-86.776285']",Tennessee
33,1,"[u'46.923127', u'-98.002992']",North Dakota
34,1,"[u'38.979094', u'-92.745294']",Missouri
35,1,"[u'40.253213', u'-76.875489']",Pennsylvania
36,1,"[u'41.589882', u'-93.616347']",Iowa
37,1,"[u'47.709386', u'-121.985063']",Washington
38,1,"[u'46.928894', u'-98.006329']",North Dakota
39,2,"[u'41.636550', u'-93.575878']",Iowa
40,2,"[u'35.136545', u'-90.059909']",Tennessee
41,3,"[u'41.962019', u'-91.657454']",Iowa
42,11,"[u'33.816040', u'-84.620604']",Georgia
43,1,"[u'38.888288', u'-91.576312']",Missouri
44,1,"[u'38.597922', u'-92.179327']",Missouri
45,2,"[u'46.666343', u'-122.980034']",Washington
46,2,"[u'38.861030', u'-104.919519']",Colorado
47,1,"[u'35.355946', u'-78.136568']",North Carolina
48,1,"[u'30.444909', u'-91.191072']",Louisiana
49,1,"[u'37.820259', u'-95.470032']",Kansas
50,1,"[u'33.989861', u'-118.064081']",California
51,1,"[u'37.801476', u'-92.341160']",Missouri
52,1,"[u'39.946647', u'-75.186250']",Pennsylvania
53,1,"[u'40.429913', u'-84.974012']",Indiana
54,1,"[u'40.489757', u'-74.437125']",New Jersey
55,1,"[u'48.232448', u'-101.289138']",North Dakota
56,1,"[u'47.799722', u'-122.328643']",Washington
57,2,"[u'36.542191', u'-87.368431']",Tennessee
58,4,"[u'40.584169', u'-73.814864']",New York
59,12,"[u'42.829668', u'-73.930349']",New York
60,1,"[u'28.812990', u'-81.267027']",Florida
61,6,"[u'35.180876', u'-91.561313']",Arkansas
62,1,"[u'41.613196', u'-93.625917']",Iowa
63,1,"[u'39.630105', u'-74.771286']",New Jersey
64,3,"[u'40.054666', u'-105.275167']",Colorado
65,1,"[u'41.257016', u'-75.892760']",Pennsylvania
66,1,"[u'41.298782', u'-75.860810']",Pennsylvania
67,1,"[u'40.713532', u'-73.997297']",New York
68,1,"[u'43.825966', u'-111.782326']",Idaho
69,1,"[u'33.995518', u'-81.023343']",South Carolina
70,2,"[u'38.547350', u'-90.257945']",Missouri
71,2,"[u'41.016919', u'-84.044208']",Ohio
72,1,"[u'41.671565', u'-93.578882']",Iowa
73,1,"[u'40.650054', u'-73.832770']",New York
74,1,"[u'32.672796', u'-90.548680']",Mississippi
75,1,"[u'36.160364', u'-89.557600']",Tennessee
76,2,"[u'47.803383', u'-122.326068']",Washington
77,1,"[u'40.702651', u'-74.008637']",New York
78,51,"[u'33.808053', u'-84.622750']",Georgia
79,2,"[u'43.848687', u'-70.132856']",Maine
80,1,"[u'36.512688', u'-87.289917']",Tennessee
81,1,"[u'42.049260', u'-73.959016']",New York
82,1,"[u'33.894072', u'-116.545715']",California
83,1,"[u'38.915379', u'-92.400233']",Missouri
84,1,"[u'41.728036', u'-71.459020']",Rhode Island
85,1,"[u'39.122083', u'-121.570981']",California
86,1,"[u'41.546102', u'-93.965549']",Iowa
87,1,"[u'41.649891', u'-93.646860']",Iowa
88,1,"[u'33.838910', u'-84.626301']",Georgia
89,2,"[u'36.365846', u'-95.967668']",Oklahoma
90,1,"[u'42.924377', u'-88.861606']",Wisconsin
91,2,"[u'33.398471', u'-91.037857']",Mississippi
92,1,"[u'41.722290', u'-71.466992']",Rhode Island
93,1,"[u'41.965832', u'-91.660341']",Iowa
94,1,"[u'40.887595', u'-73.563251']",New York
95,1,"[u'40.673833', u'-73.995834']",New York
96,2,"[u'41.747014', u'-74.092140']",New York
97,1,"[u'35.607347', u'-97.550268']",Oklahoma
98,1,"[u'42.279515', u'-85.583045']",Michigan
99,1,"[u'38.921497', u'-92.363047']",Missouri
100,1,"[u'42.088079', u'-90.138788']",Illinois
101,1,"[u'42.819816', u'-73.943438']",New York
102,4,"[u'42.084576', u'-90.131181']",Illinois
103,2,"[u'41.762541', u'-76.437785']",Pennsylvania
104,1,"[u'33.837872', u'-84.625808']",Georgia
105,1,"[u'37.623800', u'-95.774967']",Kansas
106,1,"[u'41.728160', u'-71.458881']",Rhode Island
107,1,"[u'36.185819', u'-86.611361']",Tennessee
108,1,"[u'42.049770', u'-92.908020']",Iowa
109,1,"[u'33.817261', u'-84.617922']",Georgia
110,1,"[u'36.529165', u'-87.362680']",Tennessee
111,2,"[u'42.101008', u'-91.293597']",Iowa
112,2,"[u'44.795571', u'-93.288259']",Minnesota
113,3,"[u'40.673908', u'-73.361195']",New York
114,1,"[u'41.889067', u'-87.639462']",Illinois
115,1,"[u'38.547599', u'-90.488719']",Missouri
116,1,"[u'42.679154', u'-89.019577']",Wisconsin
117,1,"[u'42.061413', u'-76.141759']",New York
118,3,"[u'40.054833', u'-105.277334']",Colorado
119,1,"[u'39.603944', u'-86.121000']",Indiana
120,2,"[u'38.978194', u'-76.486922']",Maryland
121,1,"[u'41.251455', u'-75.887213']",Pennsylvania
122,3,"[u'40.055000', u'-105.274500']",Colorado
123,1,"[u'42.537524', u'-74.411430']",New York
