,count,geo,region
0,1,"[u'44.984592', u'-93.167978']",Minnesota
1,1,"[u'47.554384', u'-90.874292']",Minnesota
2,1,"[u'42.727536', u'-84.478973']",Michigan
3,1,"[u'42.727530', u'-84.478973']",Michigan
4,1,"[u'42.727455', u'-84.479000']",Michigan
5,1,"[u'42.727511', u'-84.479100']",Michigan
6,1,"[u'42.727425', u'-84.479031']",Michigan
7,2,"[u'42.727427', u'-84.478978']",Michigan
8,1,"[u'42.727452', u'-84.478962']",Michigan
9,2,"[u'42.727544', u'-84.479117']",Michigan
10,1,"[u'42.700604', u'-87.900667']",Wisconsin
11,4,"[u'34.227087', u'-77.949006']",North Carolina
12,1,"[u'34.232698', u'-77.934200']",North Carolina
13,1,"[u'46.806639', u'-95.845104']",Minnesota
14,8,"[u'42.304197', u'-83.701872']",Michigan
15,5,"[u'42.308323', u'-83.702301']",Michigan
16,49,"[u'42.717250', u'-84.479650']",Michigan
17,1,"[u'42.727469', u'-84.479120']",Michigan
18,1,"[u'42.727525', u'-84.479009']",Michigan
19,1,"[u'42.722166', u'-84.484334']",Michigan
20,1,"[u'42.722000', u'-84.484334']",Michigan
21,1,"[u'42.727500', u'-84.478834']",Michigan
22,1,"[u'42.727333', u'-84.478834']",Michigan
23,2,"[u'42.727500', u'-84.479167']",Michigan
24,1,"[u'42.727333', u'-84.479167']",Michigan
25,43,"[u'42.717172', u'-84.479992']",Michigan
26,1,"[u'42.717130', u'-84.479662']",Michigan
27,1,"[u'42.715958', u'-84.479067']",Michigan
28,1,"[u'42.715583', u'-84.479084']",Michigan
29,31,"[u'42.716908', u'-84.479378']",Michigan
30,1,"[u'42.722000', u'-84.484167']",Michigan
31,1,"[u'42.717166', u'-84.480000']",Michigan
32,1,"[u'42.717166', u'-84.479667']",Michigan
33,11,"[u'42.721772', u'-84.472298']",Michigan
34,247,"[u'42.721900', u'-84.472173']",Michigan
35,11,"[u'42.722569', u'-84.472420']",Michigan
36,11,"[u'42.722516', u'-84.472403']",Michigan
37,1,"[u'39.178810', u'-96.561828']",Kansas
38,1,"[u'44.920103', u'-92.772899']",Minnesota
39,15,"[u'40.008371', u'-75.090887']",Pennsylvania
40,46,"[u'38.981613', u'-94.669502']",Kansas
41,2,"[u'34.230440', u'-77.929254']",North Carolina
42,1,"[u'43.078684', u'-87.879209']",Wisconsin
43,2,"[u'37.901779', u'-122.297744']",California
44,14,"[u'42.008003', u'-87.670125']",Illinois
45,2,"[u'39.899785', u'-75.056029']",New Jersey
46,1,"[u'43.078684', u'-87.879188']",Wisconsin
47,1,"[u'43.078715', u'-87.879166']",Wisconsin
48,1,"[u'33.328959', u'-82.047786']",Georgia
49,14,"[u'44.458044', u'-69.039630']",Maine
50,1,"[u'42.944925', u'-87.993192']",Wisconsin
51,1,"[u'42.944925', u'-87.996282']",Wisconsin
52,1,"[u'42.281246', u'-72.347373']",Massachusetts
53,9,"[u'38.962787', u'-76.968101']",Maryland
54,1,"[u'45.554666', u'-122.674667']",Oregon
55,2,"[u'40.134166', u'-75.056167']",Pennsylvania
56,1,"[u'42.944800', u'-87.945299']",Wisconsin
57,1,"[u'40.134833', u'-75.056334']",Pennsylvania
58,1,"[u'40.134833', u'-75.056500']",Pennsylvania
59,1,"[u'40.134500', u'-75.055834']",Pennsylvania
60,1,"[u'40.134500', u'-75.056000']",Pennsylvania
61,1,"[u'48.521450', u'-122.612807']",Washington
62,1,"[u'48.521450', u'-122.612893']",Washington
63,1,"[u'38.906605', u'-77.005675']",District of Columbia
64,1,"[u'44.658081', u'-97.208999']",South Dakota
