,count,geo,region
0,1,"[u'47.599807', u'-122.325022']",Washington
1,1,"[u'41.782863', u'-88.261161']",Illinois
2,19,"[u'40.008371', u'-75.090887']",Pennsylvania
3,1,"[u'34.119793', u'-118.179760']",California
4,1,"[u'34.119854', u'-118.179683']",California
5,1,"[u'29.800618', u'-95.553803']",Texas
6,1,"[u'42.145173', u'-71.210374']",Massachusetts
7,1,"[u'42.136064', u'-71.220191']",Massachusetts
8,1,"[u'45.485321', u'-122.796508']",Oregon
9,1,"[u'40.821103', u'-73.876532']",New York
10,1,"[u'38.941853', u'-95.228891']",Kansas
11,4,"[u'38.055322', u'-84.528422']",Kentucky
12,1,"[u'42.191835', u'-71.117720']",Massachusetts
13,1,"[u'42.669450', u'-73.726462']",New York
14,1,"[u'34.119821', u'-118.179740']",California
15,10,"[u'34.020812', u'-118.787151']",California
16,1,"[u'34.119909', u'-118.179815']",California
17,1,"[u'34.119881', u'-118.179810']",California
18,1,"[u'34.119840', u'-118.179803']",California
19,1,"[u'34.119890', u'-118.179771']",California
20,1,"[u'34.119936', u'-118.179763']",California
21,1,"[u'34.119905', u'-118.179653']",California
22,1,"[u'34.119698', u'-118.180038']",California
23,1,"[u'34.119081', u'-118.180530']",California
24,1,"[u'34.119120', u'-118.180578']",California
25,1,"[u'34.119041', u'-118.179998']",California
26,1,"[u'34.119955', u'-118.179435']",California
27,1,"[u'35.727562', u'-83.519954']",Tennessee
28,2,"[u'34.119000', u'-118.180333']",California
29,1,"[u'34.119166', u'-118.180166']",California
30,1,"[u'34.119333', u'-118.180166']",California
31,1,"[u'34.119333', u'-118.180333']",California
32,2,"[u'42.269584', u'-71.087274']",Massachusetts
33,1,"[u'38.528229', u'-121.764113']",California
34,1,"[u'38.888356', u'-77.028766']",District of Columbia
35,1,"[u'42.144218', u'-71.210846']",Massachusetts
36,1,"[u'42.269048', u'-71.072748']",Massachusetts
37,1,"[u'43.078684', u'-87.879209']",Wisconsin
38,1,"[u'45.511420', u'-122.653801']",Oregon
39,1,"[u'33.738000', u'-118.396167']",California
40,1,"[u'36.102376', u'-115.025739']",Nevada
41,1,"[u'38.969911', u'-95.288565']",Kansas
42,1,"[u'39.098512', u'-74.711494']",New Jersey
43,1,"[u'45.531274', u'-122.681665']",Oregon
44,1,"[u'43.078684', u'-87.879188']",Wisconsin
45,1,"[u'43.078715', u'-87.879166']",Wisconsin
46,58,"[u'42.929617', u'-75.856046']",New York
47,1,"[u'42.944863', u'-87.993450']",Wisconsin
48,1,"[u'41.957980', u'-87.669595']",Illinois
49,16,"[u'40.092091', u'-75.052757']",Pennsylvania
50,1,"[u'42.944863', u'-87.995080']",Wisconsin
51,1,"[u'32.338744', u'-90.172305']",Mississippi
52,1,"[u'47.599290', u'-122.325012']",Washington
53,2,"[u'36.105913', u'-115.020589']",Nevada
54,1,"[u'36.103277', u'-115.023679']",Nevada
55,1,"[u'42.930850', u'-87.981304']",Wisconsin
56,1,"[u'35.019005', u'-106.669714']",New Mexico
57,1,"[u'36.104101', u'-115.020364']",Nevada
58,1,"[u'47.705530', u'-122.288174']",Washington
59,1,"[u'45.555624', u'-122.674981']",Oregon
60,1,"[u'39.644907', u'-105.006165']",Colorado
61,1,"[u'42.992657', u'-89.527888']",Wisconsin
62,1,"[u'37.784638', u'-122.392555']",California
63,1,"[u'36.107473', u'-115.025911']",Nevada
64,1,"[u'39.282720', u'-76.505811']",Maryland
65,1,"[u'42.928399', u'-89.394378']",Wisconsin
66,1,"[u'36.103520', u'-115.024194']",Nevada
67,1,"[u'42.944800', u'-87.945299']",Wisconsin
68,1,"[u'43.027051', u'-87.957959']",Wisconsin
69,1,"[u'36.102879', u'-115.025900']",Nevada
70,1,"[u'41.887500', u'-87.930501']",Illinois
71,1,"[u'43.025168', u'-88.254976']",Wisconsin
72,1,"[u'43.025106', u'-88.254976']",Wisconsin
73,1,"[u'32.333921', u'-90.174322']",Mississippi
74,1,"[u'42.944925', u'-87.993192']",Wisconsin
75,1,"[u'32.338236', u'-90.173249']",Mississippi
76,1,"[u'27.944767', u'-82.445483']",Florida
77,1,"[u'40.042039', u'-75.317459']",Pennsylvania
78,1,"[u'40.731666', u'-73.863167']",New York
79,1,"[u'40.731166', u'-73.863167']",New York
80,1,"[u'42.944925', u'-87.996282']",Wisconsin
81,1,"[u'33.737100', u'-84.371234']",Georgia
82,1,"[u'39.092072', u'-77.209178']",Maryland
83,1,"[u'45.554666', u'-122.674667']",Oregon
84,1,"[u'29.951662', u'-90.136556']",Louisiana
85,1,"[u'36.103104', u'-115.025589']",Nevada
86,1,"[u'39.000947', u'-77.011440']",Maryland
87,2,"[u'39.094310', u'-77.208502']",Maryland
88,1,"[u'42.944863', u'-87.995252']",Wisconsin
89,1,"[u'40.731833', u'-73.863334']",New York
90,1,"[u'42.982611', u'-87.941780']",Wisconsin
91,1,"[u'27.361762', u'-82.554059']",Florida
92,1,"[u'40.734333', u'-73.868834']",New York
93,1,"[u'47.408595', u'-122.259959']",Washington
94,1,"[u'45.584731', u'-122.756423']",Oregon
95,1,"[u'47.702278', u'-122.323858']",Washington
96,1,"[u'42.930756', u'-87.981218']",Wisconsin
97,1,"[u'43.169003', u'-89.231214']",Wisconsin
98,1,"[u'43.096000', u'-88.071727']",Wisconsin
99,1,"[u'43.095655', u'-88.072199']",Wisconsin
100,1,"[u'42.944077', u'-88.053102']",Wisconsin
101,1,"[u'42.944077', u'-88.053274']",Wisconsin
102,1,"[u'38.746787', u'-90.421771']",Missouri
103,1,"[u'44.420386', u'-88.099193']",Wisconsin
104,1,"[u'38.746971', u'-90.422479']",Missouri
