count,region
162,Minnesota
235,Tennessee
17,Washington
111,North Dakota
82,Illinois
1,Nevada
491,Iowa
232,Pennsylvania
3,South Carolina
59,California
19,Missouri
55,Virginia
439,Colorado
245,New Jersey
188,Georgia
1,North Carolina
55,Louisiana
4,Kansas
109,Indiana
345,New York
3,Florida
58,Arkansas
57,Idaho
103,Ohio
4,Mississippi
2,Maine
5,Rhode Island
3,Oklahoma
12,Wisconsin
52,Michigan
8,Maryland
115,Texas
50,West Virginia
53,Kentucky
2,New Hampshire
2,Oregon
2,South Dakota
4,Arizona
2,Delaware
4,Nebraska
3,Vermont
1,District of Columbia
1,Connecticut
51,Massachusetts
