date_upload,cmt,fav,post,total
2006-2,0,0,1,1
2006-4,0,0,2,2
2007-1,0,0,70,70
2007-2,0,0,19,19
2007-3,3,0,54,57
2007-4,0,1,0,1
2008-1,4,1,20,25
2008-2,9,1,71,81
2008-3,23,7,42,72
2008-4,8,6,72,86
2009-1,3,19,5,27
2009-2,14,9,191,214
2009-3,12,7,76,95
2009-4,4,8,13,25
2010-1,5,13,179,197
2010-2,7,18,120,145
2010-3,19,22,152,193
2010-4,31,20,13,64
2011-1,1,9,25,35
2011-2,61,34,111,206
2011-3,28,17,447,492
2011-4,5,6,784,795
2012-1,15,9,145,169
2012-2,6,20,585,611
2012-3,11,13,602,626
2012-4,13,11,172,196
2013-1,12,19,62,93
2013-2,16,17,2610,2643
2013-3,11,13,266,290
2013-4,1,21,685,707
2014-1,5,38,320,363
2014-2,1,32,327,360
2014-3,61,32,446,539
2014-4,20,46,88,154
2015-1,10,28,77,115
2015-2,21,50,123,194
2015-3,3,26,24,53
