date_upload,cmt,fav,post,total
2005-1,7,5,3,15
2005-4,1,4,5,10
2006-1,1,0,7,8
2006-2,54,1,22,77
2006-3,75,24,31,130
2006-4,41,9,43,93
2007-1,89,29,30,148
2007-2,154,48,57,259
2007-3,54,24,128,206
2007-4,109,32,71,212
2008-1,91,32,45,168
2008-2,50,40,104,194
2008-3,48,13,81,142
2008-4,35,18,64,117
2009-1,208,53,69,330
2009-2,115,26,178,319
2009-3,63,26,563,652
2009-4,139,19,103,261
2010-1,148,55,85,288
2010-2,47,44,174,265
2010-3,46,22,134,202
2010-4,121,62,145,328
2011-1,212,136,463,811
2011-2,79,53,596,728
2011-3,54,37,1458,1549
2011-4,105,102,286,493
2012-1,86,97,79,262
2012-2,141,65,67,273
2012-3,120,136,257,513
2012-4,83,62,1638,1783
2013-1,87,77,539,703
2013-2,99,96,209,404
2013-3,60,121,825,1006
2013-4,11,94,1292,1397
2014-1,59,168,98,325
2014-2,84,341,286,711
2014-3,74,160,328,562
2014-4,30,131,499,660
2015-1,45,165,122,332
2015-2,5,68,299,372
2015-3,5,45,12,62
