,date_taken,date_upload,geo,photo_id,region
0,2014-06,2014-06,"[u'44.944821', u'-93.087716']",14498522544,Minnesota
1,2011-05,2011-06,"[u'35.140628', u'-90.048278']",5855557366,Tennessee
2,2007-12,2007-12,"[u'46.646129', u'-122.959263']",2101235333,Washington
3,2011-04,2011-10,"[u'47.923575', u'-97.028728']",6222134219,North Dakota
4,2011-08,2011-08,"[u'41.766402', u'-87.562989']",6015279501,Illinois
5,2012-09,2012-09,"[u'36.082696', u'-115.147275']",7979078311,Nevada
6,2008-06,2008-06,"[u'41.974726', u'-91.662282']",2608969173,Iowa
7,2011-09,2011-09,"[u'41.252443', u'-75.888168']",6134501127,Pennsylvania
8,2014-10,2014-11,"[u'33.825148', u'-80.819623']",15272993544,South Carolina
9,2009-04,2009-06,"[u'46.877010', u'-96.783145']",3641845130,North Dakota
10,2015-06,2015-06,"[u'41.873670', u'-87.814407']",18660779609,Illinois
11,2009-04,2009-06,"[u'46.953455', u'-96.862592']",3641035977,North Dakota
12,2011-05,2011-05,"[u'35.158371', u'-90.056304']",5685291660,Tennessee
13,2011-09,2011-09,"[u'41.251834', u'-75.877397']",6134728483,Pennsylvania
14,2008-06,2008-06,"[u'41.679450', u'-91.536884']",2570437360,Iowa
15,2011-04,2011-04,"[u'38.572461', u'-121.603460']",5646352917,California
16,2013-08,2013-08,"[u'37.759112', u'-92.451860']",9456556990,Missouri
17,2011-02,2011-03,"[u'36.198849', u'-86.823234']",5509432675,Tennessee
18,2011-09,2011-09,"[u'41.298790', u'-75.860745']",6134622591,Pennsylvania
19,2014-09,2015-03,"[u'37.555371', u'-79.367272']",16858884281,Virginia
20,2013-05,2013-05,"[u'41.937147', u'-92.576594']",8875586442,Iowa
21,2011-02,2011-03,"[u'36.198849', u'-86.823234']",5509442515,Tennessee
22,2011-09,2011-09,"[u'41.934410', u'-76.525657']",6136815012,Pennsylvania
23,2008-06,2008-06,"[u'41.982144', u'-91.663506']",2572995995,Iowa
24,2011-09,2015-04,"[u'40.410914', u'-105.634703']",17131024226,Colorado
25,2011-09,2011-09,"[u'41.934410', u'-76.525657']",6136272365,Pennsylvania
26,2009-04,2009-06,"[u'46.935055', u'-98.006200']",3641031669,North Dakota
27,2012-11,2012-11,"[u'40.751117', u'-74.035524']",8149434171,New Jersey
28,2013-08,2013-08,"[u'37.800527', u'-92.340989']",9456065094,Missouri
29,2011-06,2011-06,"[u'48.232248', u'-101.288366']",5870065963,North Dakota
30,2009-04,2009-06,"[u'46.939978', u'-98.196101']",3641026051,North Dakota
31,2010-09,2010-09,"[u'44.523792', u'-93.020875']",5026229988,Minnesota
32,2011-09,2011-09,"[u'41.003666', u'-76.455000']",6138724556,Pennsylvania
33,2015-06,2015-06,"[u'38.716422', u'-90.477840']",18844268068,Missouri
34,2011-03,2011-03,"[u'36.163656', u'-86.776285']",5550426733,Tennessee
35,2009-04,2009-06,"[u'46.923127', u'-98.002992']",3641031823,North Dakota
36,1951-07,2011-06,"[u'38.979094', u'-92.745294']",5860401488,Missouri
37,2014-01,2014-08,"[u'40.253213', u'-76.875489']",14814455158,Pennsylvania
38,2008-06,2008-06,"[u'41.589882', u'-93.616347']",2588355493,Iowa
39,2007-12,2007-12,"[u'47.709386', u'-121.985063']",2091837032,Washington
40,2009-04,2009-06,"[u'46.928894', u'-98.006329']",3641030875,North Dakota
41,2008-06,2008-06,"[u'41.636550', u'-93.575878']",2589195910,Iowa
42,2011-05,2011-05,"[u'35.136545', u'-90.059909']",5697594794,Tennessee
43,2008-06,2008-06,"[u'41.962019', u'-91.657454']",2568712454,Iowa
44,2009-09,2009-09,"[u'33.816040', u'-84.620604']",3946391932,Georgia
45,2013-05,2013-06,"[u'38.888288', u'-91.576312']",8912023392,Missouri
46,2014-09,2015-03,"[u'37.555371', u'-79.367272']",16239953953,Virginia
47,1951-07,2011-06,"[u'38.597922', u'-92.179327']",5860401410,Missouri
48,2007-12,2007-12,"[u'46.666343', u'-122.980034']",2089312437,Washington
49,2013-07,2013-07,"[u'38.861030', u'-104.919519']",9190098552,Colorado
50,2013-07,2013-07,"[u'35.355946', u'-78.136568']",9310962484,North Carolina
51,2008-04,2008-04,"[u'30.444909', u'-91.191072']",2412818388,Louisiana
52,2011-02,2011-03,"[u'36.198849', u'-86.823234']",5509441605,Tennessee
53,2008-06,2008-06,"[u'41.636550', u'-93.575878']",2589196594,Iowa
54,2007-06,2007-06,"[u'37.820259', u'-95.470032']",2303501300,Kansas
55,2008-06,2011-05,"[u'33.989861', u'-118.064081']",5744821964,California
56,2013-08,2013-08,"[u'37.801476', u'-92.341160']",9456061732,Missouri
57,2008-06,2008-06,"[u'41.962019', u'-91.657454']",2568713944,Iowa
58,2014-05,2014-05,"[u'39.946647', u'-75.186250']",13910415167,Pennsylvania
59,2011-02,2011-02,"[u'40.429913', u'-84.974012']",5487394056,Indiana
60,2010-03,2010-03,"[u'40.489757', u'-74.437125']",4432836268,New Jersey
61,2011-06,2011-06,"[u'48.232448', u'-101.289138']",5870065257,North Dakota
62,2007-12,2008-05,"[u'47.799722', u'-122.328643']",2526950681,Washington
63,2010-05,2010-05,"[u'36.542191', u'-87.368431']",4585335296,Tennessee
64,2012-10,2012-10,"[u'40.584169', u'-73.814864']",8143480815,New York
65,2011-08,2011-08,"[u'42.829668', u'-73.930349']",6094518545,New York
66,2011-08,2011-08,"[u'42.829668', u'-73.930349']",6095059464,New York
67,2011-08,2011-08,"[u'42.829668', u'-73.930349']",6094517149,New York
68,2011-08,2011-08,"[u'42.829668', u'-73.930349']",6094526125,New York
69,2011-08,2011-08,"[u'42.829668', u'-73.930349']",6094520547,New York
70,2011-08,2011-08,"[u'42.829668', u'-73.930349']",6094522983,New York
71,2008-09,2008-09,"[u'28.812990', u'-81.267027']",2828125717,Florida
72,2008-03,2008-03,"[u'35.180876', u'-91.561313']",2357272796,Arkansas
73,2008-06,2008-06,"[u'41.613196', u'-93.625917']",2588360171,Iowa
74,2008-03,2008-03,"[u'35.180876', u'-91.561313']",2357271072,Arkansas
75,2009-07,2009-07,"[u'39.630105', u'-74.771286']",3765647123,New Jersey
76,2013-09,2013-09,"[u'40.054666', u'-105.275167']",9855662514,Colorado
77,2011-09,2011-09,"[u'41.257016', u'-75.892760']",6135062318,Pennsylvania
78,2011-09,2011-09,"[u'41.298782', u'-75.860810']",6134642361,Pennsylvania
79,2012-10,2012-10,"[u'40.713532', u'-73.997297']",8142912020,New York
80,1976-06,2011-07,"[u'43.825966', u'-111.782326']",5894231253,Idaho
81,2011-09,2011-09,"[u'33.995518', u'-81.023343']",6183602726,South Carolina
82,1993-07,2012-04,"[u'38.547350', u'-90.257945']",6909531846,Missouri
83,2011-08,2011-08,"[u'42.829668', u'-73.930349']",6095059648,New York
84,2011-08,2011-08,"[u'42.829668', u'-73.930349']",6095058614,New York
85,2008-06,2008-06,"[u'41.962019', u'-91.657454']",2568713232,Iowa
86,2011-08,2011-08,"[u'42.829668', u'-73.930349']",6095061540,New York
87,2007-09,2007-09,"[u'41.016919', u'-84.044208']",1343507304,Ohio
88,2008-06,2008-06,"[u'41.671565', u'-93.578882']",2588362161,Iowa
89,2012-10,2012-11,"[u'40.650054', u'-73.832770']",8143870381,New York
90,2011-05,2011-05,"[u'32.672796', u'-90.548680']",5730124748,Mississippi
91,2011-05,2011-05,"[u'36.160364', u'-89.557600']",5681669180,Tennessee
92,2007-12,2008-05,"[u'47.803383', u'-122.326068']",2526949005,Washington
93,2010-05,2010-05,"[u'36.542191', u'-87.368431']",4585335254,Tennessee
94,2008-03,2008-03,"[u'35.180876', u'-91.561313']",2356432631,Arkansas
95,2012-11,2012-11,"[u'40.702651', u'-74.008637']",8145615414,New York
96,2009-09,2009-09,"[u'33.808053', u'-84.622750']",3945680865,Georgia
97,2008-08,2008-09,"[u'43.848687', u'-70.132856']",2857480271,Maine
98,2008-03,2008-03,"[u'35.180876', u'-91.561313']",2356428203,Arkansas
99,2010-05,2010-05,"[u'36.512688', u'-87.289917']",4587958207,Tennessee
100,2011-08,2011-09,"[u'42.049260', u'-73.959016']",6104346908,New York
101,2010-12,2010-12,"[u'33.894072', u'-116.545715']",5284019395,California
102,2008-09,2008-09,"[u'38.915379', u'-92.400233']",2856728615,Missouri
103,2010-03,2010-06,"[u'41.728036', u'-71.459020']",4728198519,Rhode Island
104,1986-02,2013-10,"[u'39.122083', u'-121.570981']",10043173465,California
105,2008-06,2008-06,"[u'41.546102', u'-93.965549']",2605718229,Iowa
106,2008-06,2008-06,"[u'41.649891', u'-93.646860']",2588367767,Iowa
107,2009-09,2009-09,"[u'33.838910', u'-84.626301']",3946489974,Georgia
108,2012-10,2012-10,"[u'40.584169', u'-73.814864']",8143576356,New York
109,2007-12,2007-12,"[u'46.666343', u'-122.980034']",2089516178,Washington
110,2007-07,2007-07,"[u'36.365846', u'-95.967668']",680307086,Oklahoma
111,2007-07,2007-07,"[u'36.365846', u'-95.967668']",680307170,Oklahoma
112,2013-04,2013-04,"[u'42.924377', u'-88.861606']",8662538260,Wisconsin
113,1927-04,2012-06,"[u'33.398471', u'-91.037857']",7420625710,Mississippi
114,2010-03,2010-06,"[u'41.722290', u'-71.466992']",4728198793,Rhode Island
115,2008-06,2008-06,"[u'41.965832', u'-91.660341']",2567884079,Iowa
116,2011-08,2011-08,"[u'42.829668', u'-73.930349']",6094523207,New York
117,2012-10,2012-10,"[u'40.887595', u'-73.563251']",8135823764,New York
118,2010-08,2010-11,"[u'40.673833', u'-73.995834']",5213250859,New York
119,2008-03,2008-03,"[u'41.747014', u'-74.092140']",2317237682,New York
120,2010-05,2010-06,"[u'35.607347', u'-97.550268']",4701569608,Oklahoma
121,2008-09,2008-09,"[u'42.279515', u'-85.583045']",2871985862,Michigan
122,2008-09,2008-09,"[u'38.921497', u'-92.363047']",2857556004,Missouri
123,1965-04,2008-12,"[u'42.088079', u'-90.138788']",3121940539,Illinois
124,2011-08,2011-08,"[u'42.819816', u'-73.943438']",6097343935,New York
125,2010-07,2010-07,"[u'42.084576', u'-90.131181']",4833590008,Illinois
126,2011-09,2011-09,"[u'41.003666', u'-76.455000']",6142402628,Pennsylvania
127,2011-09,2011-09,"[u'41.762541', u'-76.437785']",6167894112,Pennsylvania
128,2009-09,2009-09,"[u'33.837872', u'-84.625808']",3945706435,Georgia
129,2007-07,2007-07,"[u'37.623800', u'-95.774967']",748768926,Kansas
130,2010-03,2010-06,"[u'41.728160', u'-71.458881']",4728847602,Rhode Island
131,2010-05,2010-05,"[u'36.185819', u'-86.611361']",4571936677,Tennessee
132,2013-05,2013-05,"[u'42.049770', u'-92.908020']",8876720175,Iowa
133,2009-09,2009-09,"[u'33.817261', u'-84.617922']",3946390962,Georgia
134,2010-05,2010-05,"[u'36.529165', u'-87.362680']",4580502371,Tennessee
135,2008-06,2008-06,"[u'42.101008', u'-91.293597']",2591386753,Iowa
136,2010-03,2010-03,"[u'44.795571', u'-93.288259']",4457705983,Minnesota
137,2012-10,2012-10,"[u'40.673908', u'-73.361195']",8140155482,New York
138,2013-10,2013-10,"[u'41.889067', u'-87.639462']",10069654644,Illinois
139,2009-11,2009-11,"[u'38.547599', u'-90.488719']",4116573948,Missouri
140,2008-08,2008-09,"[u'43.848687', u'-70.132856']",2858306098,Maine
141,2008-06,2008-06,"[u'42.679154', u'-89.019577']",2593373915,Wisconsin
142,2011-03,2011-03,"[u'42.061413', u'-76.141759']",5543967156,New York
143,2013-09,2013-09,"[u'40.054833', u'-105.277334']",9842503006,Colorado
144,2008-06,2008-06,"[u'39.603944', u'-86.121000']",2564454542,Indiana
145,2012-12,2013-01,"[u'38.978194', u'-76.486922']",8333117835,Maryland
146,2008-03,2008-03,"[u'41.747014', u'-74.092140']",2316426409,New York
147,2011-09,2011-09,"[u'41.251455', u'-75.887213']",6135045014,Pennsylvania
148,2013-09,2013-09,"[u'40.055000', u'-105.274500']",9840572456,Colorado
149,2003-08,2011-09,"[u'42.537524', u'-74.411430']",6152902424,New York
150,2013-09,2013-09,"[u'40.054833', u'-105.276667']",9841736606,Colorado
151,2007-12,2008-05,"[u'47.803383', u'-122.326068']",2527768604,Washington
152,2008-06,2008-06,"[u'39.612267', u'-86.108908']",2565040286,Indiana
153,2010-09,2010-09,"[u'30.512841', u'-97.689442']",4973581322,Texas
154,2008-06,2010-02,"[u'40.629298', u'-91.310505']",4325960139,Iowa
155,1937-01,2003-10,"[u'39.098702', u'-84.512296']",2016563136,Ohio
156,2011-09,2011-09,"[u'40.227227', u'-76.863216']",6130097592,Pennsylvania
157,2010-03,2010-03,"[u'37.806465', u'-122.405108']",4402627727,California
