,date_taken,date_upload,geo,photo_id,region
0,2011-07,2011-07,"[u'30.227628', u'-81.385517']",5967710137,Florida
1,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747551424,New York
2,2010-10,2010-10,"[u'39.634819', u'-86.319268']",5045980990,Indiana
3,2012-10,2013-05,"[u'42.930850', u'-87.981304']",8902292974,Wisconsin
4,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533754358,New York
5,2013-04,2013-05,"[u'46.888974', u'-96.777044']",8703081235,North Dakota
6,2007-05,2007-10,"[u'42.929617', u'-75.856046']",1748701149,New York
7,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747548406,New York
8,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1746697533,New York
9,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747546018,New York
10,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1746700481,New York
11,2007-10,2007-10,"[u'42.928411', u'-75.854984']",1747545682,New York
12,2013-04,2013-05,"[u'46.888974', u'-96.777044']",8705322279,North Dakota
13,2008-10,2012-11,"[u'43.094621', u'-88.087477']",8233267871,Wisconsin
14,2008-10,2012-11,"[u'43.094652', u'-88.087220']",8233267795,Wisconsin
15,2014-04,2014-04,"[u'47.045750', u'-122.818625']",13813597675,Washington
16,2008-09,2012-09,"[u'42.969518', u'-88.266434']",8027780489,Wisconsin
17,2006-10,2012-11,"[u'43.316029', u'-87.969932']",8234317502,Wisconsin
18,2008-08,2012-11,"[u'43.064906', u'-88.180046']",8234340708,Wisconsin
19,2009-09,2012-09,"[u'43.118590', u'-87.940342']",7996313347,Wisconsin
20,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747549158,New York
21,2013-06,2013-07,"[u'42.258508', u'-83.690028']",9193239087,Michigan
22,2013-10,2013-10,"[u'35.701289', u'-82.576589']",10512790113,North Carolina
23,2009-04,2009-07,"[u'27.334717', u'-82.442607']",3732977355,Florida
24,2013-02,2013-03,"[u'47.834419', u'-122.152776']",8601380260,Washington
25,2013-02,2013-03,"[u'47.834188', u'-122.152776']",8600280577,Washington
26,2012-10,2012-10,"[u'43.162493', u'-89.254099']",8114850842,Wisconsin
27,2013-02,2013-02,"[u'38.697556', u'-76.856840']",8477889712,Maryland
28,2010-01,2010-01,"[u'33.841236', u'-117.953789']",4280540705,California
29,2012-03,2012-03,"[u'27.381370', u'-82.560653']",6859758826,Florida
30,2009-04,2009-04,"[u'38.989078', u'-77.061168']",3490540686,District of Columbia
31,2006-05,2006-05,"[u'33.270972', u'-111.872002']",146341667,Arizona
32,2009-06,2009-07,"[u'40.940165', u'-74.066991']",3728487514,New Jersey
33,2010-01,2010-01,"[u'33.840630', u'-117.954196']",4278639880,California
34,2010-01,2010-01,"[u'33.840666', u'-117.954325']",4278639896,California
35,2013-03,2013-03,"[u'47.834217', u'-122.149901']",8601380298,Washington
36,2012-12,2013-01,"[u'33.802747', u'-78.731809']",8370386233,South Carolina
37,2013-02,2013-03,"[u'47.834131', u'-122.153248']",8600280733,Washington
38,2004-02,2005-07,"[u'33.321751', u'-111.867717']",22976672,Arizona
39,2010-05,2010-05,"[u'41.698169', u'-88.081199']",4620450600,Illinois
40,2004-02,2005-07,"[u'33.321751', u'-111.867717']",22976755,Arizona
41,2009-04,2009-04,"[u'41.845684', u'-87.989330']",3410741316,Illinois
42,2009-06,2009-10,"[u'29.550359', u'-98.593550']",4056290304,Texas
43,2004-02,2005-07,"[u'33.321751', u'-111.867717']",22976841,Arizona
44,2010-08,2010-09,"[u'29.877006', u'-95.497026']",4949628751,Texas
45,2013-03,2013-03,"[u'35.324264', u'-80.945162']",8578203789,North Carolina
46,2013-03,2013-03,"[u'35.320205', u'-80.946793']",8574145110,North Carolina
47,2007-10,2007-10,"[u'42.928466', u'-75.855306']",1747543934,New York
48,2013-04,2013-05,"[u'46.888974', u'-96.777044']",8704203190,North Dakota
49,2012-10,2013-05,"[u'42.930756', u'-87.981218']",8901679481,Wisconsin
50,2010-05,2010-05,"[u'41.698169', u'-88.081199']",4619847909,Illinois
51,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747546854,New York
52,2009-06,2009-10,"[u'29.550359', u'-98.593550']",4055543901,Texas
53,2008-11,2009-10,"[u'29.550359', u'-98.593550']",4055540501,Texas
54,2008-11,2009-10,"[u'29.550359', u'-98.593550']",4056283368,Texas
55,2008-10,2009-10,"[u'29.550359', u'-98.593550']",4056282764,Texas
56,2008-10,2009-10,"[u'29.550359', u'-98.593550']",4056282048,Texas
57,2008-09,2009-10,"[u'29.550359', u'-98.593550']",4055537575,Texas
58,2008-09,2009-10,"[u'29.550359', u'-98.593550']",4055536911,Texas
59,2008-09,2009-10,"[u'29.550359', u'-98.593550']",4056279766,Texas
60,2008-06,2009-10,"[u'29.550359', u'-98.593550']",4055535527,Texas
61,2009-10,2009-10,"[u'29.550359', u'-98.593550']",4056276774,Texas
62,2010-07,2010-07,"[u'29.705350', u'-82.342014']",4846464984,Florida
63,2007-10,2012-11,"[u'44.420386', u'-88.099193']",8233285001,Wisconsin
64,2007-10,2007-10,"[u'42.928364', u'-75.854641']",1746695983,New York
65,2007-03,2007-10,"[u'42.929617', u'-75.856046']",1749546268,New York
66,2011-02,2011-02,"[u'42.297091', u'-83.488712']",5458528312,Michigan
67,2014-04,2014-04,"[u'47.045750', u'-122.818625']",13813618993,Washington
68,2014-04,2014-04,"[u'47.045750', u'-122.818625']",13813610395,Washington
69,2010-10,2011-01,"[u'42.802450', u'-71.539235']",5381397182,New Hampshire
70,2011-04,2011-04,"[u'39.077308', u'-86.761264']",5606702817,Indiana
71,2013-04,2013-05,"[u'46.876992', u'-96.781454']",8703060247,North Dakota
72,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930274207,Arizona
73,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930265317,Arizona
74,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14116931955,Arizona
75,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930313178,Arizona
76,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14136984193,Arizona
77,2013-10,2014-05,"[u'31.501917', u'-111.011901']",13930223427,Arizona
78,2013-11,2014-05,"[u'31.499183', u'-111.014894']",14113811482,Arizona
79,2013-11,2014-05,"[u'31.499183', u'-111.014894']",14093700986,Arizona
80,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930228398,Arizona
81,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113772152,Arizona
82,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113764702,Arizona
83,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113763022,Arizona
84,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930210188,Arizona
85,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14093652376,Arizona
86,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930191638,Arizona
87,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14116800955,Arizona
88,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532937245,New York
89,2007-03,2007-10,"[u'42.929617', u'-75.856046']",1747553102,New York
90,2007-03,2007-10,"[u'42.929617', u'-75.856046']",1748697569,New York
91,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747548756,New York
92,2013-04,2013-05,"[u'46.888974', u'-96.777044']",8703087501,North Dakota
93,2013-04,2013-05,"[u'46.888974', u'-96.777044']",8703083115,North Dakota
94,2012-05,2012-05,"[u'28.033927', u'-80.647700']",7157999520,Florida
95,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747549932,New York
96,2006-05,2006-05,"[u'33.271221', u'-111.872021']",146342204,Arizona
97,2006-05,2006-05,"[u'33.271646', u'-111.872034']",146342549,Arizona
98,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930313430,Arizona
99,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14093777666,Arizona
100,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14137006703,Arizona
101,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14116939525,Arizona
102,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14137004513,Arizona
103,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930268367,Arizona
104,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930320358,Arizona
105,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14113873582,Arizona
106,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930279919,Arizona
107,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930278819,Arizona
108,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14113868462,Arizona
109,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930261217,Arizona
110,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930274799,Arizona
111,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930298580,Arizona
112,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930272909,Arizona
113,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14117278174,Arizona
114,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930296050,Arizona
115,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14116923975,Arizona
116,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14136989683,Arizona
117,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14117274704,Arizona
118,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14136987863,Arizona
119,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14116920665,Arizona
120,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14116919865,Arizona
121,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930249727,Arizona
122,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930301208,Arizona
123,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14113636141,Arizona
124,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14116915585,Arizona
125,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14117266554,Arizona
126,2014-05,2014-05,"[u'31.501917', u'-111.011901']",14116913375,Arizona
127,2014-05,2014-05,"[u'31.501917', u'-111.011901']",13930242217,Arizona
128,2014-05,2014-05,"[u'31.501917', u'-111.011901']",14116909845,Arizona
129,2013-10,2014-05,"[u'31.501917', u'-111.011901']",14093741456,Arizona
130,2013-10,2014-05,"[u'31.501917', u'-111.011901']",13930250139,Arizona
131,2013-10,2014-05,"[u'31.501917', u'-111.011901']",13930249399,Arizona
132,2013-10,2014-05,"[u'31.501917', u'-111.011901']",13930246959,Arizona
133,2013-10,2014-05,"[u'31.501917', u'-111.011901']",14116900595,Arizona
134,2013-10,2014-05,"[u'31.501917', u'-111.011901']",14116899245,Arizona
135,2013-10,2014-05,"[u'31.501917', u'-111.011901']",14113835842,Arizona
136,2013-10,2014-05,"[u'31.501917', u'-111.011901']",13930280488,Arizona
137,2013-10,2014-05,"[u'31.501917', u'-111.011901']",14117247324,Arizona
138,2013-10,2014-05,"[u'31.501917', u'-111.011901']",14116893825,Arizona
139,2013-10,2014-05,"[u'31.501917', u'-111.011901']",13930236919,Arizona
140,2013-10,2014-05,"[u'31.501917', u'-111.011901']",14136955663,Arizona
141,2013-10,2014-05,"[u'31.501917', u'-111.011901']",13930233749,Arizona
142,2013-10,2014-05,"[u'31.501917', u'-111.011901']",14136952513,Arizona
143,2013-10,2014-05,"[u'31.501917', u'-111.011901']",14117237684,Arizona
144,2013-10,2014-05,"[u'31.501917', u'-111.011901']",13930215257,Arizona
145,2013-10,2014-05,"[u'31.501917', u'-111.011901']",14117235064,Arizona
146,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14136947153,Arizona
147,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14136945403,Arizona
148,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14093713996,Arizona
149,2013-11,2014-05,"[u'31.501917', u'-111.011901']",13930247520,Arizona
150,2013-11,2014-05,"[u'31.501917', u'-111.011901']",14117228184,Arizona
151,2013-11,2014-05,"[u'31.499183', u'-111.014894']",14117225064,Arizona
152,2013-11,2014-05,"[u'31.499183', u'-111.014894']",13930216079,Arizona
153,2013-11,2014-05,"[u'31.499183', u'-111.014894']",13930214409,Arizona
154,2013-11,2014-05,"[u'31.499183', u'-111.014894']",14117219184,Arizona
155,2013-11,2014-05,"[u'31.499183', u'-111.014894']",13930194887,Arizona
156,2013-11,2014-05,"[u'31.499183', u'-111.014894']",14093698596,Arizona
157,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930245838,Arizona
158,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14093695756,Arizona
159,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14116858845,Arizona
160,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930188507,Arizona
161,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14093691196,Arizona
162,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14116854505,Arizona
163,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930237108,Arizona
164,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930221650,Arizona
165,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930234098,Arizona
166,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113568381,Arizona
167,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930231788,Arizona
168,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930177067,Arizona
169,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930215470,Arizona
170,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930213150,Arizona
171,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930212090,Arizona
172,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930224728,Arizona
173,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14136904683,Arizona
174,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14117191554,Arizona
175,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930182289,Arizona
176,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930164907,Arizona
177,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113553021,Arizona
178,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113768202,Arizona
179,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14093666056,Arizona
180,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14136888963,Arizona
181,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930168169,Arizona
182,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113540841,Arizona
183,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14093655416,Arizona
184,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930189180,Arizona
185,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113534741,Arizona
186,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14116812325,Arizona
187,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14093648356,Arizona
188,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14117163294,Arizona
189,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113528891,Arizona
190,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930136247,Arizona
191,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113524831,Arizona
192,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113739952,Arizona
193,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930146479,Arizona
194,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930144119,Arizona
195,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113516171,Arizona
196,2013-08,2014-05,"[u'31.499183', u'-111.014894']",13930125487,Arizona
197,2013-08,2014-05,"[u'31.499183', u'-111.014894']",14113513251,Arizona
198,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1746701593,New York
199,2008-12,2009-01,"[u'27.216500', u'-80.272877']",3173428324,Florida
200,2006-09,2006-09,"[u'29.786550', u'-95.565787']",234149129,Texas
201,2007-10,2007-10,"[u'42.928387', u'-75.854845']",1747545220,New York
202,2010-01,2010-01,"[u'33.842243', u'-117.955527']",4277893153,California
203,2007-03,2007-10,"[u'42.929617', u'-75.856046']",1749547132,New York
204,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1746698295,New York
205,2007-10,2007-10,"[u'42.929617', u'-75.856046']",1747544316,New York
206,2007-05,2007-10,"[u'42.929617', u'-75.856046']",1749549782,New York
207,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533755682,New York
208,2007-05,2007-10,"[u'42.929617', u'-75.856046']",1749549942,New York
209,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533757836,New York
210,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533751800,New York
211,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533759826,New York
212,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533757638,New York
213,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532939509,New York
214,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533760156,New York
215,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533760002,New York
216,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532942037,New York
217,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532941851,New York
218,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532941695,New York
219,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533759152,New York
220,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532941329,New York
221,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533758788,New York
222,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532940929,New York
223,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532940753,New York
224,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533758250,New York
225,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532940333,New York
226,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533757416,New York
227,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533756930,New York
228,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533756714,New York
229,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533756518,New York
230,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532938767,New York
231,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533756104,New York
232,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532938381,New York
233,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533755424,New York
234,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533755200,New York
235,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533755030,New York
236,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532937079,New York
237,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533754154,New York
238,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532936457,New York
239,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533753820,New York
240,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532936055,New York
241,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533753440,New York
242,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532935639,New York
243,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532935451,New York
244,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532935247,New York
245,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532935049,New York
246,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533752520,New York
247,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533752364,New York
248,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3533752174,New York
249,2009-05,2009-05,"[u'42.929617', u'-75.856046']",3532934353,New York
250,2015-02,2015-02,"[u'41.905598', u'-88.361492']",16030367123,Illinois
