date,cmt,fav,post,total
2006-04,0,0,1,1
2006-10,0,0,2,2
2007-01,0,0,70,70
2007-04,0,0,12,12
2007-05,0,0,7,7
2007-07,2,0,54,56
2007-08,1,0,0,1
2007-11,0,1,0,1
2008-01,0,0,2,2
2008-02,0,0,1,1
2008-03,4,1,17,22
2008-04,0,0,24,24
2008-05,0,0,3,3
2008-06,9,1,44,54
2008-07,3,1,11,15
2008-08,2,0,10,12
2008-09,18,6,21,45
2008-10,2,2,19,23
2008-11,3,3,38,44
2008-12,3,1,15,19
2009-01,1,5,2,8
2009-02,0,6,1,7
2009-03,2,8,2,12
2009-04,6,3,121,130
2009-05,2,5,21,28
2009-06,6,1,4,11
2009-07,2,3,12,17
2009-08,7,2,23,32
2009-09,3,2,41,46
2009-10,1,3,5,9
2009-11,1,4,5,10
2009-12,2,1,3,6
2010-01,5,2,35,42
2010-02,0,2,0,2
2010-03,0,9,144,153
2010-04,0,11,29,40
2010-05,5,3,53,61
2010-06,2,4,29,35
2010-07,8,1,53,62
2010-08,8,3,52,63
2010-09,3,18,57,78
2010-10,20,24,8,52
2010-11,9,3,1,13
2010-12,2,3,4,9
2011-01,0,2,3,5
2011-02,0,1,6,7
2011-03,1,6,16,23
2011-04,4,15,19,38
2011-05,47,10,49,106
2011-06,10,9,43,62
2011-07,1,6,83,90
2011-08,16,8,108,132
2011-09,2,3,247,252
2011-10,3,3,115,121
2011-11,2,0,667,669
2011-12,0,3,12,15
2012-01,8,3,17,28
2012-02,6,5,77,88
2012-03,1,1,40,42
2012-04,1,13,46,60
2012-05,0,1,124,125
2012-06,5,6,415,426
2012-07,3,5,141,149
2012-08,0,0,402,402
2012-09,8,8,58,74
2012-10,1,0,139,140
2012-11,0,2,26,28
2012-12,12,9,5,26
2013-01,6,8,12,26
2013-02,0,2,35,37
2013-03,6,9,15,30
2013-04,3,3,2,8
2013-05,1,2,12,15
2013-06,12,3,2597,2612
2013-07,7,7,134,148
2013-08,1,3,99,103
2013-09,3,3,44,50
2013-10,0,7,350,357
2013-11,1,8,216,225
2013-12,0,6,56,62
2014-01,0,7,15,22
2014-02,5,3,16,24
2014-03,0,28,400,428
2014-04,1,24,28,53
2014-05,0,6,117,123
2014-06,0,2,164,166
2014-07,1,8,258,267
2014-08,59,10,195,264
2014-09,1,13,1,15
2014-10,19,9,42,70
2014-11,1,16,4,21
2014-12,0,21,52,73
2015-01,8,14,9,31
2015-02,2,11,1,14
2015-03,0,3,67,70
2015-04,1,10,21,32
2015-05,2,13,28,43
2015-06,18,28,74,120
2015-07,2,7,11,20
